organization_name,org_type,amenity,healthcare,social_facility,address,city,lat,lon,distance_miles
YD Physical Therapy,physiotherapist,,physiotherapist,,70-11 108th Street,,40.7225224,-73.8440491,1.89
Family Dental Center Luz A Filion DDS,dentist,dentist,dentist,,,,40.7492971,-73.8768176,1.89
Tristate Pharmacy,pharmacy,pharmacy,pharmacy,,89-24 37th Avenue,,40.7503948,-73.8769869,1.89
Public School 139,school,school,,,93-06 63rd Drive,,40.7280114,-73.8625603,1.89
Simon Cheirif,dentist,dentist,dentist,,104-60 Queens Boulevard,,40.7230797,-73.8492203,1.9
A B Shirwaikar MD,doctors,doctors,doctor,,35th Avenue,,40.7527343,-73.8770129,1.91
Public School 127,school,school,,,,,40.7650879,-73.8713833,1.92
Physical Therapy Center,physiotherapist,,physiotherapist,,67-01 Austin Street,,40.7241653,-73.8554465,1.93
Creative Dental of Queens - Dr. Tim Mozner DDS,dentist,dentist,dentist,,63-58 Wetherole Street,Rego Park,40.7279834,-73.8639333,1.93
The Atria,social_facility,social_facility,,nursing_home,,,40.7220059,-73.8366411,1.93
J.H.S. 190Q Russel Sage,school,school,,,,,40.7231519,-73.8517564,1.93
Rite Aid,pharmacy,pharmacy,pharmacy,,71-16 Kissena Boulevard,,40.7291612,-73.8153599,1.95
Santa Fe Pharmacy,pharmacy,pharmacy,pharmacy,,88-31 37th Avenue,Jackson Heights,40.7505423,-73.877963,1.95
Montessouri School,school,school,,,67-04 Austin Street,,40.7238876,-73.8555584,1.95
Shalom Pharmacy,pharmacy,pharmacy,pharmacy,,72-48 Main Street,,40.7254619,-73.8214731,1.96
CVS Pharmacy,pharmacy,pharmacy,pharmacy,,108-11 Queens Boulevard,,40.721452,-73.8431487,1.96
Spear,physiotherapist,,physiotherapist,,107-12 Queens Boulevard,Forest Hills,40.7217249,-73.8461658,1.96
NYBC,blood_donation,,blood_donation,,107-10 Queens Boulevard,,40.7217428,-73.84622,1.96
Public School 29,school,school,,,125-10 23rd Avenue,,40.7780517,-73.8429696,1.96
Forest Hills Audiology,audiologist,,audiologist,,110-11 72nd Avenue,Forest Hills,40.7213451,-73.8403879,1.97
